Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,bruˈmilu,vɨɾˈmɐjʎu,bru.ˈmi.lu,vɨɾ.ˈmɐj.ʎu,lu,ʎu,3,3,,vermelho,red,Baxter2004,
Papia Kristang,raˈis,ʀɐˈiʃ,ra.ˈis,ʀɐ.ˈiʃ,ra,ʀɐ,1,1,,raíz,root,Baxter2004,
Papia Kristang,raˈis,ʀɐˈiʃ,ra.ˈis,ʀɐ.ˈiʃ,ˈis,ˈiʃ,2,2,,raíz,root,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐ.jɐ,a,ɐ,1,1,,areia,sand,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐj.ɐ,ˈri,ˈrɐj,2,2,,areia,sand,Baxter2004,
Papia Kristang,aˈria,ɐˈrɐjɐ,a.ˈri.a,ɐ.ˈrɐj.ɐ,a,ɐ,3,3,,areia,sand,Baxter2004,
Papia Kristang,faˈla,fɐˈlaɾ,fa.ˈla,fɐ.ˈlaɾ,fa,fɐ,1,1,,falar,say,Baxter2004,
Papia Kristang,faˈla,fɐˈlaɾ,fa.ˈla,fɐ.ˈlaɾ,ˈla,ˈlaɾ,2,2,,falar,say,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,ka,kɐ,1,1,,caroço,seed,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,ˈro,ˈro,2,2,,caroço,seed,Baxter2004,
Papia Kristang,kaˈrosu,kɐˈrosu,ka.ˈro.su,kɐ.ˈro.su,su,su,3,3,,caroço,seed,Baxter2004,
Papia Kristang,busˈka,buʃˈkaɾ,bus.ˈka,buʃ.ˈkaɾ,bus,buʃ,1,1,,buscar,seek,Baxter1990[7-21],
