Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;fɾak;ˈfɾaku;fɾak;ˈfɾa.ku;1;2;-;ku;-;2;-;Medial;;fraco;thin;Clements2012[37-182];
Korlai;fin;ˈfinu;fin;ˈfi.nu;1;2;fin;fi;1;1;Initial;Initial;;fino;thin;Clements2012[37-183];
Korlai;fin;ˈfinu;fin;ˈfi.nu;1;2;-;nu;-;2;-;Medial;;fino;thin;Clements2012[37-184];
Korlai;wɔ;ˈvɔʃ;wɔ;ˈvɔʃ;1;1;wɔ;ˈvɔʃ;1;1;Initial;Initial;;vós;thou;Clements2012[37-185];
Korlai;liŋ;ˈlĩɡuɐ;liŋ;ˈlĩ.ɡuɐ;1;2;liŋ;lĩ;1;1;Initial;Initial;;língua;tongue;Clements2012[37-186];
Korlai;liŋ;ˈlĩɡuɐ;liŋ;ˈlĩ.ɡuɐ;1;2;-;ɡuɐ;-;2;-;Medial;;língua;tongue;Clements2012[37-187];
Korlai;gumita;vumiˈtaɾ;gu.mi.ta;vu.mi.ˈtaɾ;3;3;gu;vu;1;1;Initial;Initial;;vomitar;throw up;Clements2012[37-188];
Korlai;gumita;vumiˈtaɾ;gu.mi.ta;vu.mi.ˈtaɾ;3;3;mi;mu;2;2;Medial;Medial;;vomitar;throw up;Clements2012[37-189];
Korlai;gumita;vumiˈtaɾ;gu.mi.ta;vu.mi.ˈtaɾ;3;3;ta;tar;3;3;Medial;Medial;;vomitar;throw up;Clements2012[37-190];
Korlai;maɾt̠ʃa;mɐɾˈʃaɾ;maɾ.t̠ʃa;mɐɾ.ˈʃaɾ;2;2;maɾ;mɐɾ;1;1;Initial;Initial;;marchar;walk;Clements2012[37-191];
Korlai;maɾt̠ʃa;mɐɾˈʃaɾ;maɾ.t̠ʃa;mɐɾ.ˈʃaɾ;2;2;t̠ʃa;ʃaɾ;2;2;Medial;Medial;;marchar;walk;Clements2012[37-192];
Korlai;laʋa;lɐˈvaɾ;la.ʋa;lɐ.ˈvaɾ;2;2;la;lɐ;1;1;Initial;Initial;;lavar;wash;Clements2012[37-193];
Korlai;laʋa;lɐˈvaɾ;la.ʋa;lɐ.ˈvaɾ;2;2;ʋa;vaɾ;2;2;Medial;Medial;;lavar;wash;Clements2012[37-194];
Korlai;ag;aguɐ;ag;a.guɐ;1;2;ag;a;1;1;Initial;Initial;;água;water;Clements2012[37-195];
Korlai;ag;aguɐ;ag;a.guɐ;1;2;-;guɐ;-;2;-;Medial;;água;water;Clements2012[37-196];
Korlai;laɾg;ˈlaɾɡu;laɾg;ˈlaɾ.ɡu;1;2;laɾg;lar;1;1;Initial;Initial;;largo;wide;Clements2012[37-197];
Korlai;laɾg;ˈlaɾɡu;laɾg;ˈlaɾ.ɡu;1;2;-;gu;-;2;-;Medial;;largo;wide;Clements2012[37-198];
Korlai;ʋɛ̃t;ˈvẽtu;ʋɛ̃t;ˈvẽ.tu;1;2;ʋɛ̃t;vẽ;1;1;Initial;Initial;;vento;wind;Clements2012[37-199];
Korlai;ʋɛ̃t;ˈvẽtu;ʋɛ̃t;ˈvẽ.tu;1;2;-;tu;-;2;-;Medial;;vento;wind;Clements2012[37-200];
Korlai;mat;ˈmatu;mat;ˈma.tu;1;2;mat;ma;1;1;Initial;Initial;;mato;woods;Clements2012[37-201];
Korlai;mat;ˈmatu;mat;ˈma.tu;2;2;-;tu;-;2;-;Medial;;mato;woods;Clements2012[37-202];
Korlai;use;vɔˈse;u.se;vɔ.ˈse;2;2;u;vɔ;1;1;Initial;Initial;;você;you;Clements2012[37-203];
Korlai;use;vɔˈse;u.se;vɔ.ˈse;1;2;se;se;2;2;Medial;Medial;;você;you;Clements2012[37-204];
Korlai;ʃi;sɨ;ʃi;sɨ;1;1;ʃi;sɨ;1;1;Initial;Initial;;se;if;Clements2012[37-205];
Korlai;maw;ˈmal;maw;ˈmal;1;1;maw;mal;1;1;Initial;Initial;;mal;bad;Clements2012[37-206];
Korlai;sajŋ;ˈsɐ̃ɡɨ;sajŋ;ˈsɐ̃.ɡɨ;1;2;sajŋ;sɐ̃;1;1;Initial;Initial;;sangue;blood;Clements2012[37-207];
Korlai;sajŋ;ˈsɐ̃ɡɨ;sajŋ;ˈsɐ̃.ɡɨ;1;2;-;ɡɨ;-;2;-;Medial;;sangue;blood;Clements2012[37-208];
Korlai;pejt;ˈpejtu;pejt;ˈpej.tu;1;2;pejt;pej;1;1;Initial;Initial;;peito;breast;Clements2012[37-209];
Korlai;pejt;ˈpejtu;pejt;ˈpej.tu;1;2;-;tu;-;2;-;Medial;;peito;breast;Clements2012[37-210];
Korlai;di;ˈdiɐ;di;ˈdiɐ;1;1;di;diɐ;1;1;Initial;Initial;;dia;day;Clements2012[37-211];
Korlai;lɔ̃j;ˈlõʒɨ;lɔ̃j;ˈlõ.ʒɨ;1;1;lɔ̃j;lõ;1;1;Initial;Initial;;longe;far;Clements2012[37-212];
Korlai;lɔ̃j;ˈlõʒɨ;lɔ̃j;ˈlõ.ʒɨ;1;2;-;ʒɨ;-;2;-;Medial;;longe;far;Clements2012[37-213];
Korlai;manteg;ˈmɐ̃tɐjgɐ;man.teg;ˈmɐ̃.tɐj.gɐ;2;3;man;mɐ̃;1;1;Initial;Initial;;manteiga;ghee;Clements2012[37-214];
Korlai;manteg;ˈmɐ̃tɐjgɐ;man.teg;ˈmɐ̃.tɐj.gɐ;2;3;-;tɐj;-;2;-;Medial;;manteiga;ghee;Clements2012[37-215];
Korlai;manteg;ˈmɐ̃tɐjgɐ;man.teg;ˈmɐ̃.tɐj.gɐ;2;3;teg;gɐ;2;3;Medial;Medial;;manteiga;ghee;Clements2012[37-216];
Korlai;paj;paj;paj;paj;1;1;paj;paj;1;1;Initial;Initial;;pai;father;Clements2012[37-217];
Korlai;peʃ;ˈpejʃɨ;peʃ;ˈpej.ʃɨ;1;2;-;ʃɨ;-;2;-;Medial;;pai;father;Clements2012[37-218];
Korlai;fɾujt;ˈfɾutɐ;fɾujt;ˈfɾu.tɐ;1;2;fɾujt;fɾu;1;1;Initial;Initial;;fruta;fruit;Clements2012[37-219];
Korlai;fɾujt;ˈfɾutɐ;fɾujt;ˈfɾu.tɐ;1;2;-;tɐ;-;2;-;Medial;;fruta;fruit;Clements2012[37-220];
Korlai;mãw;ˈmɐ̃w̃;mãw;ˈmɐ̃w̃;1;1;mãw;ˈmɐ̃w̃;1;1;Initial;Initial;;mão;hand;Clements2012[37-221];
Korlai;maj;ˈmɐ̃j̃;maj;ˈmɐ̃j̃;1;1;maj;ˈmɐ̃j̃;1;1;Initial;Initial;;mãe;mother;Clements2012[37-222];
