SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
ku:ɾtu,ˈkuɾtu,ku:ɾ.tu,ˈkuɾ.tu,curto,short,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
kanta:,kɐ̃ˈtaɾ,kan.ta:,kɐ̃.ˈtaɾ,cantar,sing,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
santa:,sẽˈtaɾ,san.ta:,sẽ.ˈtaɾ,sentar,sit,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
pɛ:li,ˈpɛlɨ,pɛ:.li,ˈpɛ.lɨ,pele,skin,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
sɛ:ʋ,ˈsɛwʃ,sɛ.:ʋ,ˈsɛwʃ,céus,sky,Clements2012[37-41],,,,,,4,4,0,Equal,2,1,1,Source
dɾumi:,duɾˈmiɾ,dɾu.mi:,duɾ.ˈmiɾ,dormir,sleep,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
pikini:m,pɨˈkenu,pi.ki.ni:m,pɨ.ˈke.nu,pequeno,small,Clements2012[37-41],,,,,,8,6,2,Source,3,3,0,Equal
t̠ʃeɾa:,ʃɐjˈɾaɾ,t̠ʃe.ɾa:,ʃɐj.ˈɾaɾ,cheirar,smell,Clements2012[37-41],,,,,,5,6,-1,Target,2,2,0,Equal
fu:mu,ˈfumu,fu:.mu,ˈfu.mu,fumo,smoke,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
lit̠ʃi:n,ˈlizu,li.t̠ʃi:n,ˈli.zu,liso,smooth,Clements2012[37-41],,,,,,6,4,2,Source,2,2,0,Equal
aluŋ,aɫˈgũ,a.luŋ,aɫ.ˈgũ,algum,some,Clements2012[37-41],,,,,,4,5,-1,Target,2,2,0,Equal
kuspi:,kuʃˈpiɾ,kus.pi:,kuʃ.ˈpiɾ,cuspir,spit,Clements2012[37-41],,,,,,6,6,0,Equal,2,2,0,Equal
fenda,fẽˈdeɾ,fen.da,fẽ.ˈdeɾ,fender,split,Clements2012[37-41],,,,,,5,6,-1,Target,2,2,0,Equal
masa:,ɐpɨɾˈtaɾ,ma.sa:,ɐ.pɨɾ.ˈtaɾ,apertar,squeeze,Clements2012[37-41],,,,,,5,7,-2,Target,2,3,-1,Target
fiɾi:,fɨˈɾiɾ,fi.ɾi:,fɨ.ˈɾiɾ,furar,pierce,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
impɛ,ɐ̃j ˈpɛ,im.pɛ,ɐ̃j.ˈpɛ,estar em pé,stand,Clements2012[37-41],,,,,,4,6,-2,Target,2,2,0,Equal
iɾigi,iɾˈgeɾ,i.ɾi.gi,iɾ.ˈgeɾ,erguer,stand,Clements2012[37-41],,,,,,5,5,0,Equal,3,2,1,Source
istɾɛ:la,ʃˈtɾelɐ,is.tɾɛ:.la,ʃ.ˈtɾe.lɐ,estrela,star,Clements2012[37-41],,,,,,8,6,2,Source,3,3,0,Equal
pa:ʋ,ˈpaw,pa:ʋ,ˈpaw,pau,stick,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
pɛ:dɾa,ˈpɛdɾɐ,pɛ:.dɾa,ˈpɛ.dɾɐ,pedra,stone,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
iiɾti,ˈiɾtu,i.iɾ.ti,ˈiɾ.tu,irto,straight,Clements2012[37-41],,,,,,5,4,1,Source,3,2,1,Source
