Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,pe:,ˈpɛ,pe:,ˈpɛ,pe:,0,1,ˈpɛ,1,1,1,1,Final,Final,,pé,foot,Clements2012[37-41]
Sri Lanka Portuguese,ka:tɾu,ˈkwatɾu,ka.:tɾu,ˈkwa.tɾu,ka:,0,tɾu,ˈkwa,2,2,1,1,Initial,Initial,,quatro,four,Clements2012[37-41]
Sri Lanka Portuguese,ka:tɾu,ˈkwatɾu,ka.:tɾu,ˈkwa.tɾu,tɾu,ka:,2,tɾu,2,2,2,2,Final,Final,,quatro,four,Clements2012[37-41]
Sri Lanka Portuguese,fɾʋi:ta,ˈfɾutɐ,fɾʋi.:ta,ˈfɾu.tɐ,fɾʋi:,0,ta,ˈfɾu,2,2,1,1,Initial,Initial,,fruta,fruit,Clements2012[37-41]
Sri Lanka Portuguese,fɾʋi:ta,ˈfɾutɐ,fɾʋi.:ta,ˈfɾu.tɐ,ta,fɾʋi:,2,tɐ,2,2,2,2,Final,Final,,fruta,fruit,Clements2012[37-41]
Sri Lanka Portuguese,int̠ʃi:du,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,int,0,t̠ʃi:,ẽ,3,3,1,1,Initial,Initial,,enchido,full,Clements2012[37-41]
Sri Lanka Portuguese,int̠ʃi:du,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,t̠ʃi:,int,du,ˈʃi,3,3,2,2,Medial,Medial,,enchido,full,Clements2012[37-41]
Sri Lanka Portuguese,int̠ʃi:du,ẽˈʃidu,in.t̠ʃi.:du,ẽ.ˈʃi.du,du,t̠ʃi:,3,du,3,3,3,3,Final,Final,,enchido,full,Clements2012[37-41]
Sri Lanka Portuguese,da:,ˈdaɾ,da:,ˈdaɾ,da:,0,1,ˈdaɾ,1,1,1,1,Final,Final,,dar,give,Clements2012[37-41]
Sri Lanka Portuguese,bo:m,bõ,bo:m,bõ,bo:m,0,1,bõ,1,1,1,1,Final,Final,,bom,good,Clements2012[37-41]
